Using top-of-file RUN_* configuration.
Run command for .py usage: python train_ultrawidescaledtail10_repro.py
[sweep] ensuring CIFAR-10 is available at data
[sweep] selected model=UltraWideScaledTail10 layers=10 params=21,337,656 seeds=[42, 43, 44, 45, 46, 47, 48, 49] epochs=750 seed_workers=8 loader_workers=32
[sweep] running 8 seed jobs with 8 parallel processes and 4 DataLoader workers per process
[ultrawidescaledtail10_e750_s49] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:7 epochs=750 seed=49 batch_size=512
[ultrawidescaledtail10_e750_s42] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:0 epochs=750 seed=42 batch_size=512
[ultrawidescaledtail10_e750_s48] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:6 epochs=750 seed=48 batch_size=512
[ultrawidescaledtail10_e750_s45] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:3 epochs=750 seed=45 batch_size=512
[ultrawidescaledtail10_e750_s47] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:5 epochs=750 seed=47 batch_size=512
[ultrawidescaledtail10_e750_s43] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:1 epochs=750 seed=43 batch_size=512
[ultrawidescaledtail10_e750_s44] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:2 epochs=750 seed=44 batch_size=512
[ultrawidescaledtail10_e750_s46] model=UltraWideScaledTail10 layers=10 params=21,337,656 device=cuda:4 epochs=750 seed=46 batch_size=512
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: adaptive_max_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:93.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[ultrawidescaledtail10_e750_s49] ep 001/750 train_loss=2.2433 val_raw=28.58 val_ema=10.66 best_raw=28.58@1 best_ema=10.66@1 lr=0.02000 time=35.6s
[ultrawidescaledtail10_e750_s42] ep 001/750 train_loss=2.2353 val_raw=32.38 val_ema=10.62 best_raw=32.38@1 best_ema=10.62@1 lr=0.02000 time=35.5s
[ultrawidescaledtail10_e750_s48] ep 001/750 train_loss=2.2311 val_raw=34.48 val_ema=7.98 best_raw=34.48@1 best_ema=7.98@1 lr=0.02000 time=36.1s
[ultrawidescaledtail10_e750_s46] ep 001/750 train_loss=2.2144 val_raw=34.60 val_ema=9.76 best_raw=34.60@1 best_ema=9.76@1 lr=0.02000 time=35.1s
[ultrawidescaledtail10_e750_s47] ep 001/750 train_loss=2.2474 val_raw=32.72 val_ema=9.04 best_raw=32.72@1 best_ema=9.04@1 lr=0.02000 time=36.1s
[ultrawidescaledtail10_e750_s43] ep 001/750 train_loss=2.2317 val_raw=31.12 val_ema=10.16 best_raw=31.12@1 best_ema=10.16@1 lr=0.02000 time=37.0s
[ultrawidescaledtail10_e750_s44] ep 001/750 train_loss=2.2336 val_raw=32.52 val_ema=13.88 best_raw=32.52@1 best_ema=13.88@1 lr=0.02000 time=36.9s
[ultrawidescaledtail10_e750_s45] ep 001/750 train_loss=2.2332 val_raw=32.54 val_ema=10.28 best_raw=32.54@1 best_ema=10.28@1 lr=0.02000 time=37.5s
[ultrawidescaledtail10_e750_s49] ep 002/750 train_loss=1.9887 val_raw=45.70 val_ema=10.66 best_raw=45.70@2 best_ema=10.66@1 lr=0.04000 time=7.5s
[ultrawidescaledtail10_e750_s42] ep 002/750 train_loss=2.0045 val_raw=41.04 val_ema=9.76 best_raw=41.04@2 best_ema=10.62@1 lr=0.04000 time=8.1s
[ultrawidescaledtail10_e750_s48] ep 002/750 train_loss=1.9890 val_raw=43.04 val_ema=10.06 best_raw=43.04@2 best_ema=10.06@2 lr=0.04000 time=7.4s
[ultrawidescaledtail10_e750_s46] ep 002/750 train_loss=1.9497 val_raw=47.26 val_ema=9.78 best_raw=47.26@2 best_ema=9.78@2 lr=0.04000 time=7.7s
[ultrawidescaledtail10_e750_s47] ep 002/750 train_loss=1.9890 val_raw=31.78 val_ema=10.08 best_raw=32.72@1 best_ema=10.08@2 lr=0.04000 time=8.0s
[ultrawidescaledtail10_e750_s43] ep 002/750 train_loss=1.9905 val_raw=32.16 val_ema=9.66 best_raw=32.16@2 best_ema=10.16@1 lr=0.04000 time=7.9s
[ultrawidescaledtail10_e750_s44] ep 002/750 train_loss=1.9759 val_raw=45.58 val_ema=9.76 best_raw=45.58@2 best_ema=13.88@1 lr=0.04000 time=8.0s
[ultrawidescaledtail10_e750_s45] ep 002/750 train_loss=2.0193 val_raw=45.40 val_ema=10.14 best_raw=45.40@2 best_ema=10.28@1 lr=0.04000 time=8.0s
[ultrawidescaledtail10_e750_s49] ep 003/750 train_loss=1.8044 val_raw=50.12 val_ema=10.74 best_raw=50.12@3 best_ema=10.74@3 lr=0.06000 time=7.5s
[ultrawidescaledtail10_e750_s42] ep 003/750 train_loss=1.8371 val_raw=54.82 val_ema=9.76 best_raw=54.82@3 best_ema=10.62@1 lr=0.06000 time=7.9s
[ultrawidescaledtail10_e750_s48] ep 003/750 train_loss=1.8220 val_raw=54.88 val_ema=9.64 best_raw=54.88@3 best_ema=10.06@2 lr=0.06000 time=7.5s
[ultrawidescaledtail10_e750_s46] ep 003/750 train_loss=1.8300 val_raw=52.46 val_ema=9.44 best_raw=52.46@3 best_ema=9.78@2 lr=0.06000 time=7.7s
[ultrawidescaledtail10_e750_s47] ep 003/750 train_loss=1.8484 val_raw=42.74 val_ema=10.08 best_raw=42.74@3 best_ema=10.08@2 lr=0.06000 time=7.7s
[ultrawidescaledtail10_e750_s44] ep 003/750 train_loss=1.8575 val_raw=54.28 val_ema=9.76 best_raw=54.28@3 best_ema=13.88@1 lr=0.06000 time=7.7s
[ultrawidescaledtail10_e750_s43] ep 003/750 train_loss=1.8407 val_raw=24.74 val_ema=12.54 best_raw=32.16@2 best_ema=12.54@3 lr=0.06000 time=7.9s
[ultrawidescaledtail10_e750_s45] ep 003/750 train_loss=1.8641 val_raw=54.52 val_ema=10.16 best_raw=54.52@3 best_ema=10.28@1 lr=0.06000 time=7.5s
[ultrawidescaledtail10_e750_s49] ep 004/750 train_loss=1.7065 val_raw=60.16 val_ema=10.14 best_raw=60.16@4 best_ema=10.74@3 lr=0.08000 time=7.6s
[ultrawidescaledtail10_e750_s42] ep 004/750 train_loss=1.7135 val_raw=60.42 val_ema=9.76 best_raw=60.42@4 best_ema=10.62@1 lr=0.08000 time=7.4s
[ultrawidescaledtail10_e750_s48] ep 004/750 train_loss=1.7022 val_raw=51.64 val_ema=9.76 best_raw=54.88@3 best_ema=10.06@2 lr=0.08000 time=7.4s
[ultrawidescaledtail10_e750_s46] ep 004/750 train_loss=1.7650 val_raw=58.00 val_ema=10.08 best_raw=58.00@4 best_ema=10.08@4 lr=0.08000 time=7.6s
[ultrawidescaledtail10_e750_s47] ep 004/750 train_loss=1.7195 val_raw=58.26 val_ema=10.08 best_raw=58.26@4 best_ema=10.08@2 lr=0.08000 time=7.6s
